Atom_type,C,CA,CA_m1,CB,CB_m1,C_m1,H,HA,N
C,1.061735076506672,0.039915714073863254,0.007212373247834738,-0.044795209180587214,-0.02142795777913957,0.028339732755492543,0.01008913517675893,0.016830266875703555,-0.14630454766261908
CA,0.039915714073863254,0.8693281375225419,0.025334360285717297,0.01326049592733046,-0.007560521322308102,0.14984484836487988,0.041092665731500305,-0.0645879615169698,0.4186797127940887
CA_m1,0.007212373247834738,0.025334360285717297,0.8670541458161412,0.005282774243524272,0.022808269477745648,0.031138628574614104,0.006332725995838469,0.002117837926345549,-0.05658231104928593
CB,-0.044795209180587214,0.01326049592733046,0.005282774243524272,1.050781217706705,0.01712316544150702,-0.020563749422141293,-0.019737878251346524,0.024063288500699654,-0.1654259173762056
CB_m1,-0.02142795777913957,-0.007560521322308102,0.022808269477745648,0.01712316544150702,1.0815666436843527,-0.0468091649356244,0.02100557088016204,0.0019156464196394016,-0.12938077393927097
C_m1,0.028339732755492543,0.14984484836487988,0.031138628574614104,-0.020563749422141293,-0.0468091649356244,1.044899938003617,0.07510601395603382,-0.0004613955271273344,0.3786980675377083
H,0.01008913517675893,0.041092665731500305,0.006332725995838469,-0.019737878251346524,0.02100557088016204,0.07510601395603382,0.20651766791799364,-0.0002821178896036247,0.39847636497268446
HA,0.016830266875703555,-0.0645879615169698,0.002117837926345549,0.024063288500699654,0.0019156464196394016,-0.0004613955271273344,-0.0002821178896036247,0.05140633335023344,-0.03845503859381844
N,-0.14630454766261908,0.4186797127940887,-0.05658231104928593,-0.1654259173762056,-0.12938077393927097,0.3786980675377083,0.39847636497268446,-0.03845503859381844,5.897065147327119
